tractFIPS,SUM of Qty
17031180100,86
17031190100,24
17031190200,43
17031190300,87
17031190401,93
17031190402,58
17031190601,97
17031190602,103
17031190701,20
17031190702,36
17031190800,85
17031190900,31
17031191000,28
17031191100,81
17031191200,83
17031191301,69
17031191302,87
17031200100,186
17031200200,77
17031200300,21
17031200401,39
17031200402,58
17031210100,54
17031210400,82
17031210501,49
17031210502,33
17031210601,49
17031210602,101
17031210700,43
17031210800,11
17031210900,62
17031220300,54
17031220400,33
17031220500,60
17031220601,13
17031220602,85
17031220701,42
17031220702,119
17031220901,61
17031220902,80
17031221000,95
17031221100,83
17031221200,68
17031221300,45
17031221400,38
17031221500,41
17031221600,57
17031222200,32
17031222500,45
17031222600,33
17031222700,31
17031222800,31
17031222900,39
17031230100,39
17031230200,35
17031230300,31
17031230400,51
17031230500,57
17031230600,511
17031230700,161
17031230800,44
17031230900,138
17031231100,40
17031231200,80
17031231500,254
17031240200,38
17031240300,21
17031240500,30
17031240600,26
17031240700,9
17031240800,32
17031240900,218
17031241000,61
17031241100,107
17031241200,32
17031241300,21
17031241400,65
17031241500,51
17031241600,22
17031242000,29
17031242100,82
17031242200,35
17031242300,39
17031242400,38
17031242500,42
17031242600,107
17031242700,116
17031242800,51
17031242900,68
17031243000,41
17031243100,59
17031243200,53
17031243300,63
17031243400,42
17031243500,38
17031250200,38
17031250300,19
17031250400,144
17031250500,286
17031250600,33
17031250700,41
17031250800,66
17031251000,23
17031251100,88
17031251200,40
17031251300,54
17031251400,74
17031251500,71
17031251600,33
17031251700,24
17031251800,64
17031251900,62
17031252000,97
17031252101,45
17031252102,116
17031252201,65
17031252202,17
17031260100,11
17031260200,62
17031260300,52
17031260400,74
17031260500,24
17031260600,20
17031260700,21
17031260800,19
17031260900,104
17031261000,202
17031270500,81
17031271200,95
17031271300,37
17031271400,57
17031271500,76
17031271800,87
17031280100,34
17031280400,132
17031280800,19
17031280900,31
17031281900,22
17031282700,21
17031282800,10
17031283100,26
17031283200,22
17031283800,65
17031290900,384
17031291200,183
17031291600,27
17031292200,147
17031292400,172
17031292500,200
17031300500,68
17031300600,78
17031300700,197
17031300800,150
17031300900,150
17031301100,72
17031301200,104
17031301600,100
17031301701,147
17031301702,70
17031301801,41
17031301802,79
17031301803,94
17031310200,49
17031310300,51
17031310400,16
17031310500,23
17031310600,97
17031310700,38
17031310800,62
17031310900,63
17031320102,8
17031320400,6
17031320600,8
17031330101,10
17031330102,42
17031330103,44
17031330200,78
17031340300,37
17031340400,22
17031340500,63
17031340600,24
17031350100,15
17031350400,38
17031351000,36
17031351100,147
17031351400,131
17031351500,2
17031360200,93
17031380100,85
17031380200,103
17031380600,187
17031381200,116
17031381400,119
17031381500,20
17031381700,144
17031381800,110
17031381900,66
17031390100,11
17031390200,68
17031390300,69
17031390400,31
17031390500,8
17031390600,19
17031390700,9
17031400300,150
17031400400,113
17031400500,61
17031400800,226
17031410100,16
17031410200,1
17031410500,11
17031410600,21
17031410700,22
17031410800,29
17031410900,27
17031411000,28
17031411100,13
17031411200,34
17031420100,14
17031420200,81
17031420300,33
17031420400,69
17031420500,61
17031420600,57
17031420700,132
17031420800,46
17031421200,128
17031430101,25
17031430102,22
17031430200,22
17031430300,50
17031430400,114
17031430500,54
17031430600,21
17031430700,17
17031430800,19
17031430900,26
17031431200,34
17031431301,48
17031431302,83
17031431400,170
17031440101,27
17031440102,96
17031440201,132
17031440202,89
17031440300,196
17031440600,39
17031440700,18
17031440800,79
17031440900,40
17031450300,167
17031460100,245
17031460200,190
17031460301,88
17031460302,126
17031460400,38
17031460500,242
17031460800,150
17031461000,42
17031470100,60
17031480100,77
17031480200,31
17031480300,39
17031480400,184
17031480500,60
17031490200,130
17031490500,127
17031490600,84
17031490700,14
17031490800,104
17031490901,140
17031490902,158
17031491000,163
17031491100,107
17031491200,138
17031491300,46
17031491400,86
17031500100,166
17031500200,184
17031500300,110
17031510100,125
17031510200,138
17031510300,33
17031520100,106
17031520200,187
17031520300,42
17031520400,82
17031520500,51
17031520600,21
17031530100,92
17031530200,345
17031530300,174
17031530400,28
17031530501,117
17031530502,3
17031530503,105
17031530600,66
17031540101,44
17031540102,16
17031550100,94
17031550200,35
17031560100,62
17031560200,148
17031560300,57
17031560400,13
17031560700,27
17031560800,59
17031560900,74
17031561000,59
17031561100,61
17031570100,40
17031570200,202
17031570300,94
17031570400,19
17031570500,8
17031580100,166
17031580200,164
17031580300,60
17031580400,190
17031580501,35
17031580502,50
17031580600,56
17031580700,195
17031580800,30
17031590500,103
17031590600,129
17031590700,216
17031600400,106
17031600600,119
17031600700,99
17031600900,92
17031610300,280
17031610400,51
17031610800,24
17031611200,35
17031611300,25
17031611400,36
17031611500,61
17031611600,50
17031611700,55
17031611800,33
17031611900,149
17031612000,49
17031612100,106
17031612200,105
17031620100,54
17031620200,17
17031620300,73
17031620400,374
17031630300,55
17031630400,21
17031630500,63
17031630600,55
17031630800,38
17031630900,45
17031640100,13
17031640300,122
17031640400,58
17031640500,24
17031640600,30
17031640700,10
17031640800,36
17031650100,37
17031650200,74
17031650301,61
17031650302,69
17031650400,48
17031650500,31
17031660301,10
17031660302,40
17031660400,81
17031660500,44
17031660600,90
17031660700,33
17031660800,33
17031660900,125
17031661000,78
17031661100,41
17031670100,32
17031670200,26
17031670300,25
17031670400,60
17031670500,19
17031670600,11
17031670700,16
17031670800,42
17031670900,22
17031671100,115
17031671200,90
17031671300,246
17031671400,14
17031671500,270
17031671600,302
17031671800,102
17031671900,56
17031672000,128
17031680500,59
17031680600,60
17031680900,43
17031681000,106
17031681100,126
17031681200,193
17031681300,160
17031681400,147
17031690300,133
17031690400,74
17031690500,45
17031690900,58
17031691000,45
17031691100,303
17031691200,210
17031691300,96
17031691400,103
17031691500,66
17031700100,118
17031700200,113
17031700301,30
17031700302,61
17031700401,62
17031700402,53
17031700501,183
17031700502,48
17031710100,104
17031710200,118
17031710300,53
17031710400,229
17031710500,163
17031710600,69
17031710700,135
17031710800,95
17031710900,157
17031711000,151
17031711100,163
17031711200,281
17031711300,127
17031711400,161
17031711500,106
17031720100,254
17031720200,162
17031720300,246
17031720400,68
17031720500,82
17031720600,134
17031720700,113
17031730100,29
17031730201,353
17031730202,104
17031730300,89
17031730400,142
17031730500,117
17031730600,624
17031730700,146
17031740100,56
17031740200,73
17031740300,80
17031740400,112
17031750100,142
17031750200,166
17031750300,133
17031750400,133
17031750500,282
17031750600,129
17031760801,9
17031760802,23
17031760803,6
17031813801,1
17031820800,1
17031821402,1
17031821600,13
17031823304,11
17031829100,6
17031829700,7
17031830500,368
17031830600,107
17031830700,78
17031830800,30
17031830900,88
17031831000,40
17031831100,206
17031831200,67
17031831300,33
17031831400,306
17031831500,52
17031831600,122
17031831700,59
17031831800,215
17031831900,46
17031832000,33
17031832100,30
17031832200,47
17031832300,66
17031832400,40
17031832500,37
17031832600,42
17031832900,11
17031833000,138
17031833100,152
17031833300,41
17031833900,85
17031834000,121
17031834200,176
17031834300,195
17031834400,51
17031834500,115
17031834600,241
17031834700,131
17031834800,101
17031834900,259
17031835000,34
17031835100,98
17031835200,10
17031835500,133
17031835600,59
17031835800,90
17031836000,95
17031836100,266
17031836200,45
17031836300,11
17031836400,100
17031836500,83
17031836600,82
17031836700,183
17031836800,58
17031836900,17
17031837000,110
17031837100,112
17031837300,271
17031837400,193
17031837800,105
17031838000,114
17031838100,48
17031838200,85
17031838300,52
17031838600,147
17031838700,390
17031838800,131
17031839000,37
17031839100,45
17031839200,105
17031839500,76
17031839600,53
17031839700,205
17031839800,58
17031839900,85
17031840000,72
17031840100,73
17031840200,122
17031840300,346
17031840400,160
17031840700,102
17031840800,62
17031841000,67
17031841100,73
17031841200,97
17031841300,103
17031841500,170
17031841700,54
17031841800,177
17031841900,98
17031842000,19
17031842100,235
17031842200,103
17031842300,41
17031842400,187
17031842500,117
17031842600,125
17031842800,157
17031842900,212
17031843000,381
17031843100,136
17031843200,133
17031843300,84
17031843400,110
17031843500,82
17031843600,58
17031843700,169
17031843800,174
17031843900,158
17031844600,171
17031844700,129
17097862902,1
17097863201,8
Grand Total,67422
