tractFIPS,reqs
17031140602,80
17031660302,206
17031612000,6
17031550100,141
17031710500,294
17031440800,31
17031834000,129
17031611700,18
17031530600,8
17031283100,6
17031835600,15
17031710600,116
17031672000,569
17031261000,257
17031838100,11
17031834400,44
17031843100,89
17031842400,151
17031130100,230
17031831600,113
17031290900,390
17031390400,15
17031190900,21
17031420100,11
17031460302,89
17031030101,45
17031191301,33
17031691000,32
17031230800,83
17031681100,52
17031420500,46
17031260200,52
17031540101,24
17031420700,71
17031301701,189
17031750500,178
17031690400,41
17031460301,62
17031510100,54
17031730300,117
17031250300,10
17031020601,59
17031260400,30
17031610400,66
17031340500,129
17031630400,34
17031842900,55
17031680500,22
17031650100,271
17031611900,94
17031660500,301
17031271800,77
17031580502,61
17031231100,22
17031650400,104
17031611600,1
17031470100,22
17031030601,46
17031691500,23
17031841800,117
17031300800,156
17031190702,46
17031630300,50
17031291200,197
17031140702,129
17031460100,136
17031420600,18
17031838800,88
17031831300,28
17031430300,18
17031031502,65
17031840800,128
17031580600,84
17031671800,277
17031260900,99
17031843300,60
17031351100,14
17031301802,171
17031834700,24
17031681400,92
17031710700,315
17031836900,28
17031020702,45
17031670400,16
17031841100,170
17031839600,62
17031430200,37
17031560400,35
17031260100,7
17031831200,144
17031260800,24
17031420800,18
17031421200,209
17031831400,223
17031830600,91
17031400800,85
17031660400,306
17031837100,113
17031671200,76
17031710800,367
17031843400,104
17031580501,44
17031270500,60
17031381500,9
17031670500,14
17031251900,20
17031670300,7
17031252102,27
17031843000,118
17031836700,34
17031210400,96
17031260700,37
17031430400,60
17031837400,211
17031837300,187
17031841500,96
17031340600,19
17031190800,79
17031010702,49
17031630900,70
17031691100,170
17031020802,77
17031252201,17
17031252101,32
17031340300,66
17031842100,79
17031661000,73
17031400300,36
17031310700,58
17031670600,16
17031440101,24
17031040202,92
17031350400,13
17031660800,273
17031031200,59
17031461000,33
17031620300,123
17031360200,9
17031271400,45
17031834800,65
17031491300,27
17031671600,303
17031300900,269
17031230500,60
17031430500,48
17031431301,34
17031251800,53
17031834600,327
17031670800,36
17031710200,249
17031670700,12
17031835100,100
17031611400,60
17031381400,45
17031630500,61
17031010201,76
17031833900,74
17031230600,498
17031660900,63
17031300600,82
17031610300,151
17031660301,73
17031390300,33
17031611200,28
17031400400,21
17031251500,37
17031301200,47
17031837000,183
17031841700,36
17031834900,263
17031252000,59
17031431302,30
17031612100,17
17031530100,16
17031680900,31
17031031501,10
17031681200,122
17031431400,180
17031690300,65
17031836100,70
17031691200,87
17031260600,24
17031681300,80
17031231500,94
17031491000,77
17031660600,318
17031252202,13
17031835000,133
17031838700,412
17031611300,23
17031230700,213
17031020500,25
17031660700,20
17031251400,64
17031231200,92
17031280800,10
17031835500,89
17031836800,66
17031010202,59
17031251100,105
17031351400,15
17031251600,20
17031251300,40
17031611500,38
17031020902,30
17031460200,94
17031491400,43
17031301600,235
17031838600,70
17031260300,32
17031380600,65
17031612200,71
17031844600,33
17031460800,104
17031844700,96
17031490200,179
17031330102,24
17031330103,39
17031630600,19
17031320102,6
17031330101,6
17031320101,2
