tractFIPS,priority
17031243000,603
17031242900,604
17031750200,605
17031410600,606
17031720300,607
17031032100,608
17031161000,609
17031030701,610
17031830700,611
17031010100,612
17031030703,613
17031720200,614
17031241500,615
17031140302,616
17031081000,617
17031130300,618
17031243200,619
17031411200,620
17031160602,621
17031020200,622
17031060500,623
17031010503,624
17031220601,625
17031221200,626
17031130100,627
17031280100,628
17031410900,629
17031390500,630
17031110100,631
17031220300,632
17031030101,633
17031030102,634
17031081800,635
17031090300,636
17031242400,637
17031040201,638
17031410200,639
17031832200,640
17031030603,641
17031050300,642
17031140800,643
17031062700,644
17031220500,645
17031020302,646
17031320600,647
17031070500,648
17031031800,649
17031832600,650
17031090200,651
17031390600,652
17031030400,653
17031240200,654
17031062600,655
17031020701,656
17031050200,657
17031241400,658
17031720700,659
17031081100,660
17031720600,661
17031031000,662
17031242100,663
17031051000,664
17031051100,665
17031160900,666
17031061800,667
17031081402,668
17031063000,669
17031161100,670
17031030300,671
17031030702,672
17031720500,673
17031832100,674
17031220400,675
17031081700,676
17031062400,677
17031062500,678
17031221600,679
17031010400,680
17031061100,681
17031832000,682
17031120400,683
17031031300,684
17031051400,685
17031050900,686
17031020400,687
17031242300,688
17031040300,689
17031031900,690
17031071000,691
17031411100,692
17031070200,693
17031222200,694
17031062200,695
17031080300,696
17031061000,697
17031050800,698
17031240300,699
17031081600,700
17031070600,701
17031070400,702
17031030900,703
17031062100,704
17031063400,705
17031242200,706
17031010502,707
17031831000,708
17031031100,709
17031031700,710
17031081500,711
17031081201,712
17031030604,713
17031240500,714
17031830800,715
17031062800,716
17031120300,717
17031063301,718
17031051300,719
17031061901,720
17031051200,721
17031062900,722
17031070102,723
17031060200,724
17097862902,725
17031080202,726
17031040900,727
17031040700,728
17031070103,729
17031062300,730
17031050600,731
17031050100,732
17031030103,733
17031040600,734
17031040100,735
17031061200,736
17031081300,737
17031081401,738
17031031400,739
17031050500,740
17031030706,741
17031071100,742
17031040800,743
17031071500,744
17031063100,745
17031831900,746
17031070300,747
17031071800,748
17031060800,749
17031040402,750
17031010501,751
17031071700,752
17031040401,753
17031071200,754
17031081403,755
17031720100,756
17031060400,757
17031241300,758
17031010300,759
17031010701,760
17031060100,761
17031063302,762
17031010600,763
17031060300,764
17031070101,765
17031062000,766
17031060900,767
17031063200,768
17031061500,769
17031130200,770
17031030500,771
17031071300,772
17031050700,773
17031061902,774
17097863201,775
17031063303,776
17031071400,777
17031080201,778
17031381700,779
17031030800,780
17031081202,781
17031071600,782
17031080100,783
17031120200,784
17031030200,785
17031760802,786
17031120100,787
17031330103,
17031844600,
17031330102,
17031380600,
17031844700,
17031460800,
17031490200,
17031612200,
17031630600,
17031330101,
17031320102,
